gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,0,1,48,0,0.0,DSL,0.0,1.0,1.0,0.0,0.0,1.0,Month-to-month,0,Credit card (automatic),45.55,2108.35,0.0
Male,0,1,0,59,0,0.0,DSL,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,44.3,2666.75,0.0
Male,0,1,1,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,90.1,90.1,0.0
Female,1,1,0,38,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Bank transfer (automatic),74.95,2869.85,1.0
Male,1,1,1,71,1,1.0,Fiber optic,1.0,1.0,0.0,0.0,1.0,1.0,Month-to-month,1,Credit card (automatic),105.1,7548.1,1.0
Male,1,0,0,49,1,1.0,DSL,1.0,1.0,1.0,1.0,0.0,1.0,Two year,0,Credit card (automatic),81.35,4060.9,0.0
Male,0,0,0,45,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,1,Electronic check,20.4,930.45,1.0
Male,0,1,0,35,0,0.0,DSL,1.0,0.0,1.0,0.0,1.0,1.0,One year,0,Credit card (automatic),53.15,1930.9,0.0
Female,0,0,1,11,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Credit card (automatic),20.1,221.35,1.0
Male,0,1,1,71,1,1.0,Fiber optic,1.0,0.0,0.0,0.0,1.0,1.0,Two year,1,Electronic check,97.2,6910.3,0.0
Female,1,1,0,54,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,1,Mailed check,18.95,1031.1,0.0
Female,0,0,0,72,1,0.0,Fiber optic,1.0,1.0,1.0,1.0,1.0,1.0,Two year,1,Electronic check,109.9,7624.2,0.0
Male,0,0,0,66,1,0.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,Two year,1,Bank transfer (automatic),105.65,6844.5,0.0
Female,0,0,0,41,1,0.0,DSL,0.0,0.0,0.0,1.0,0.0,0.0,One year,0,Bank transfer (automatic),50.05,2029.05,0.0
