gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,0,0,67,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,1,Mailed check,19.8,1311.3,0.0
Male,0,0,1,49,1,1.0,Fiber optic,0.0,0.0,0.0,1.0,1.0,1.0,One year,1,Bank transfer (automatic),100.6,5069.65,1.0
Male,0,0,1,3,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Mailed check,20.05,75.45,0.0
Male,0,1,1,36,1,0.0,DSL,1.0,0.0,1.0,0.0,0.0,1.0,One year,1,Credit card (automatic),63.7,2188.5,0.0
Male,0,1,1,50,1,1.0,Fiber optic,0.0,1.0,0.0,1.0,1.0,1.0,Month-to-month,0,Electronic check,103.7,5071.05,1.0
Male,0,1,1,68,1,0.0,Fiber optic,1.0,1.0,1.0,0.0,1.0,1.0,Two year,1,Bank transfer (automatic),105.25,7173.15,0.0
Female,0,1,1,66,1,0.0,DSL,1.0,0.0,0.0,0.0,1.0,0.0,Two year,1,Electronic check,59.75,3996.8,0.0
Male,0,0,0,2,1,0.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,0,Electronic check,74.95,151.75,0.0
Male,0,0,0,69,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,1,Mailed check,19.1,1268.85,0.0
Male,1,1,0,71,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Credit card (automatic),25.45,1789.65,0.0
Male,0,0,0,10,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,24.0,226.55,0.0
Male,1,0,0,35,1,1.0,Fiber optic,1.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,0,Credit card (automatic),91.0,3180.5,0.0
Male,0,0,0,21,1,0.0,DSL,1.0,0.0,1.0,0.0,1.0,0.0,Month-to-month,0,Bank transfer (automatic),65.35,1424.4,0.0
Female,0,1,1,3,0,0.0,DSL,1.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Credit card (automatic),29.7,91.7,1.0
Female,1,0,0,18,1,0.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,74.7,1294.6,0.0
Female,1,1,1,57,1,0.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,0.0,Month-to-month,1,Credit card (automatic),95.3,5567.45,0.0
Female,0,0,1,48,1,0.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,0.0,Two year,1,Mailed check,95.5,4627.85,1.0
Female,0,1,1,30,1,0.0,DSL,0.0,0.0,1.0,1.0,1.0,0.0,One year,1,Electronic check,64.5,1985.15,0.0
Male,1,1,0,54,1,1.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,1.0,Two year,1,Electronic check,110.45,6077.75,0.0
Female,0,0,0,31,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Credit card (automatic),20.9,689.35,0.0
Female,0,1,1,47,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Mailed check,19.75,948.9,0.0
